,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
0,2008-01-02,2112.75,09:40:00,10:15:00,2095.5,2104.75,2102.75,True,2112.75,2104.0,2104.75,2111.0,True,Short,10:40:00,Short,10:00:00,Red,Short,2107.0,0.34285714285714286,10:05:00,2095.5,0.9714285714285714,10:15:00,10:05:00
1,2008-01-03,2077.0,10:05:00,09:50:00,2058.75,2066.75,2067.75,False,2071.75,2062.75,2066.75,2063.5,False,Long,12:10:00,Short,09:45:00,Green,Long,2077.0,1.5833333333333333,10:05:00,2058.75,0.4444444444444444,09:50:00,10:00:00
2,2008-01-04,2043.5,09:30:00,10:25:00,2020.25,2042.0,2021.75,True,2043.5,2031.0,2042.0,2036.0,True,Short,10:35:00,Short,10:15:00,Red,Long,2028.5,-0.2,10:20:00,2020.25,0.86,10:25:00,
3,2008-01-07,1990.25,09:45:00,10:25:00,1955.25,1984.75,1957.25,False,1989.25,1976.25,1984.75,1985.5,True,Short,10:30:00,Short,10:15:00,Red,Short,1967.0,-0.7115384615384616,10:20:00,1955.25,1.6153846153846154,10:25:00,
4,2008-01-08,1998.5,10:25:00,09:35:00,1975.5,1979.25,1992.0,True,1984.5,1975.5,1979.25,1982.5,True,Short,11:30:00,Long,10:00:00,Green,Short,1988.25,-0.4166666666666667,10:05:00,1998.5,1.5555555555555556,10:25:00,
5,2008-01-09,1949.0,10:10:00,09:35:00,1920.75,1929.75,1939.0,False,1945.0,1920.75,1929.75,1939.0,True,Short,11:50:00,Long,10:00:00,Green,Short,1927.0,0.7422680412371134,10:25:00,1949.0,0.16494845360824742,10:10:00,10:20:00
6,2008-01-10,1955.75,10:15:00,09:30:00,1937.0,1941.75,1945.5,True,1946.0,1937.0,1941.75,1944.5,True,Long,12:15:00,Long,09:45:00,Green,Short,1942.5,0.3888888888888889,09:50:00,1955.75,1.0833333333333333,10:15:00,
7,2008-01-11,1956.25,09:30:00,10:05:00,1940.5,1954.0,1942.5,True,1956.25,1945.75,1954.0,1950.75,True,Short,11:00:00,Short,10:00:00,Red,Long,1949.25,0.3333333333333333,10:10:00,1940.5,0.5,10:05:00,
8,2008-01-14,1956.25,09:30:00,09:40:00,1936.0,1951.75,1951.0,True,1956.25,1936.0,1951.75,1939.25,True,Long,11:05:00,Long,11:05:00,Red,Long,,,,,,,
9,2008-01-15,1944.25,09:35:00,10:25:00,1925.25,1939.25,1928.5,True,1944.25,1934.5,1939.25,1937.75,True,Short,10:40:00,Short,10:10:00,Red,Long,1936.75,0.23076923076923078,10:15:00,1925.25,0.9487179487179487,10:25:00,
10,2008-01-16,1908.25,09:40:00,10:15:00,1875.25,1889.75,1877.0,False,1908.25,1886.25,1889.75,1903.25,True,Short,10:40:00,Short,10:00:00,Red,Short,1889.75,0.1590909090909091,10:05:00,1875.25,0.5,10:15:00,10:05:00
11,2008-01-17,1905.0,09:50:00,10:20:00,1874.5,1891.75,1883.0,True,1901.75,1890.0,1891.75,1899.75,False,Short,10:30:00,Long,09:45:00,Red,Short,1874.5,2.3191489361702127,10:20:00,1905.0,0.2765957446808511,09:50:00,10:00:00
12,2008-01-18,1887.0,10:10:00,09:30:00,1857.25,1866.0,1882.5,True,1875.25,1857.25,1866.0,1870.75,True,Short,11:45:00,Long,10:05:00,Green,Short,1875.25,0.0,10:10:00,1887.0,0.6527777777777778,10:10:00,
13,2008-01-21,1799.0,09:55:00,10:25:00,1786.25,1793.75,1788.5,True,1794.0,1788.5,1793.75,1789.75,True,Short,10:50:00,Long,09:45:00,Red,Long,1786.25,1.4090909090909092,10:25:00,1799.0,0.9090909090909091,09:55:00,10:00:00
14,2008-01-22,1815.75,10:25:00,09:30:00,1746.25,1750.5,1809.5,True,1792.0,1746.25,1750.5,1788.0,True,Long,11:05:00,Long,09:45:00,Green,Short,1784.75,0.15846994535519127,09:55:00,1815.75,0.5191256830601093,10:25:00,
15,2008-01-23,1772.0,10:20:00,09:30:00,1733.75,1736.0,1759.25,False,1751.75,1733.75,1736.0,1742.5,True,Short,11:30:00,Long,09:55:00,Green,Short,1749.25,0.1388888888888889,10:05:00,1772.0,1.125,10:20:00,
16,2008-01-24,1834.0,10:00:00,10:20:00,1798.5,1803.75,1810.25,True,1817.75,1802.25,1803.75,1817.5,True,Long,16:00:00,Long,09:45:00,Green,Short,1798.5,1.2419354838709677,10:20:00,1834.0,1.0483870967741935,10:00:00,10:20:00
17,2008-01-25,1872.5,09:30:00,10:25:00,1838.25,1872.25,1841.75,True,1872.5,1850.75,1872.25,1855.5,True,Short,10:30:00,Short,10:00:00,Red,Long,1848.0,-0.12643678160919541,10:05:00,1838.25,0.5747126436781609,10:25:00,
18,2008-01-28,1801.25,10:25:00,09:40:00,1779.0,1797.25,1800.0,True,1798.0,1779.0,1797.25,1787.0,True,Long,10:45:00,Long,10:25:00,Green,Long,,,,,,,
19,2008-01-29,1823.25,09:35:00,10:00:00,1797.5,1819.0,1812.75,True,1823.25,1814.75,1819.0,1818.25,True,,,Short,09:50:00,Red,Long,1814.75,0.0,10:25:00,1797.5,2.0294117647058822,10:00:00,
20,2008-01-30,1820.75,10:20:00,09:30:00,1802.5,1805.0,1818.5,True,1811.5,1802.5,1805.0,1809.75,True,Long,10:50:00,Long,09:50:00,Green,Short,1810.0,0.16666666666666666,10:05:00,1820.75,1.0277777777777777,10:20:00,
21,2008-01-31,1805.25,10:10:00,09:45:00,1787.25,1789.5,1803.0,True,1796.75,1788.0,1789.5,1791.75,True,Long,11:20:00,Long,09:55:00,Green,Short,1794.5,0.2571428571428571,10:25:00,1805.25,0.9714285714285714,10:10:00,
22,2008-02-01,1871.5,10:05:00,09:35:00,1847.0,1856.5,1856.5,True,1856.75,1847.0,1856.5,1851.5,True,Short,10:30:00,Long,09:45:00,Neutral,Long,1851.75,0.5128205128205128,10:25:00,1871.5,1.5128205128205128,10:05:00,09:55:00
23,2008-02-04,1860.75,09:35:00,10:05:00,1848.5,1859.25,1850.25,True,1860.75,1854.25,1859.25,1855.75,True,Short,10:30:00,Short,10:05:00,Red,Long,1856.25,0.3076923076923077,10:15:00,1849.25,0.7692307692307693,10:25:00,
24,2008-02-05,1817.75,10:25:00,09:30:00,1799.0,1799.0,1817.75,True,1811.0,1799.0,1799.0,1806.5,True,Short,13:05:00,Long,09:55:00,Green,Short,1808.0,0.25,10:05:00,1817.75,0.5625,10:25:00,
25,2008-02-06,1798.0,10:10:00,09:45:00,1778.25,1790.5,1785.5,False,1790.75,1778.75,1790.5,1780.0,True,Long,11:00:00,Long,10:00:00,Red,Long,1783.0,0.6458333333333334,10:25:00,1798.0,0.6041666666666666,10:10:00,10:15:00
26,2008-02-07,1755.5,10:20:00,09:55:00,1718.5,1725.5,1747.75,True,1739.25,1725.0,1725.5,1734.25,False,Long,12:50:00,Short,09:50:00,Green,Short,1755.5,2.1403508771929824,10:20:00,1718.5,0.45614035087719296,09:55:00,09:55:00
27,2008-02-08,1778.5,10:05:00,09:30:00,1754.25,1759.75,1774.75,True,1775.75,1754.25,1759.75,1766.75,True,Long,10:50:00,Long,10:00:00,Green,Short,1772.25,0.16279069767441862,10:15:00,1778.5,0.12790697674418605,10:05:00,
